shot_id,start_time,end_time,duration,lyric_passage,narrative_purpose,primary_visual,foreground_action,background_action,camera_movement,transition_in,transition_out,dominant_palette,typography_use,production_method,render_status,review_notes
S001,0:00,0:04,4,Opening silence,Establish oppressive atmosphere,Endless bureaucratic corridor stretching to vanishing point,Single figure slumped at desk motionless,Flickering fluorescent lights casting long shadows,Slow dolly forward,Black fade-in,Hard cut,Near-black charcoal dirty white,Title card: THE MAGICIAN'S EMPIRE,Procedural SVG corridor with perspective distortion,pending,Establish scale and dread
S002,0:04,0:08,4,Opening silence,Introduce institutional setting,Rows of identical filing cabinets forming canyon walls,Dust motes floating in shaft of light,Papers scattered across floor like fallen leaves,Static wide shot,Hard cut,Dissolve,Charcoal oxidized metal,Subtle date stamp in corner,Python/Pillow texture overlay on procedural geometry,pending,Emphasize monotony
S003,0:08,0:12,4,First breath heard,First sign of awakening,Close-up of hand twitching on desk surface,Fingers slowly unclenching,Shadow of mask hovering just out of frame,Slow push-in on hand,Cut from previous,Crossfade to next,Dirty white muted gold,Handwritten lyric fragment appears,Hand-drawn animation overlay on 3D model,pending,Show first spark of consciousness
S004,0:12,0:16,4,Awakening begins,Figure rises from stupor,Medium shot of figure lifting head slowly,Eyes opening confused and disoriented,Other figures in background still slumped at desks,Slow tilt up from desk to face,Crossfade,Hard cut,Muted gold oxidized metal,Your neighbor is not the enemy fades in briefly,Typography animation with xerox degradation,pending,Establish protagonist
S005,0:16,0:20,4,Confusion and search,Protagonist surveys environment,Over-shoulder shot looking down corridor,Figure standing and turning slowly,Dozens of identical figures at identical desks,Handheld camera slight movement,Hard cut,Dissolve,Charcoal dirty white,Environmental text: DEPARTMENT OF COMPLIANCE,Procedural SVG with CRT interference,pending,Show scale of conformity
S006,0:20,0:24,4,First movement,Figure takes tentative step,Low angle tracking shot following feet,Shoes stepping onto cold floor,Other figures beginning to stir in background,Tracking shot moving backward,Hard cut,Cut to next,Near-black muted gold,Subtle pulse effect on edges,Particle system dust motes,pending,Emphasize isolation
S007,0:24,0:28,4,Others awakening,Collective stirring begins,Medium wide shot of multiple figures rising,Arms pushing off desks chairs scraping,Fluorescent lights flickering more intensely,Static shot with figures moving,Crossfade,Hard cut,Dirty white oxidized metal,Multiple lyric fragments appearing and fading,Typography with hand-drawn imperfection,pending,Show collective awakening
S008,0:28,0:32,4,Masks descending,The mechanism revealed,Low angle looking up at ceiling,Mask shapes descending on wires like puppets,Geometric patterns on ceiling rotating,Slow tilt up to ceiling,Hard cut,Dissolve,Oxidized metal muted gold,MASK text appearing mechanically,Procedural SVG mechanical diagram,pending,Reveal the control mechanism
S009,0:32,0:36,4,Masks approaching,Inevitable conformity,Medium shot of mask descending toward protagonist,Mask swinging gently on wire,Other masks descending around figure,Static shot with mask movement,Crossfade,Hard cut,Charcoal oxidized metal,Your neighbor is not the enemy appears,Typography with glitch effect,pending,Create tension
S010,0:36,0:40,4,Mask contact,The moment of submission,Extreme close-up of mask touching face,Mask settling onto features,Shadow falling across eyes,Slow push-in to extreme close-up,Hard cut,Cut to next,Near-black muted gold,Silence in typography,Hand-drawn imperfection overlay,pending,Critical moment of choice
S011,0:40,0:44,4,Masked transformation,Identity erased,Medium shot of figure now wearing mask,Figure standing straight posture rigid,Other figures also now masked standing,Slow dolly backward revealing more,Crossfade,Dissolve,Oxidized metal dirty white,MASK repeated across frame,Typography multiplication effect,Python/Pillow compositing,pending,Show transformation complete
S012,0:44,0:48,4,Army of masks,Collective conformity established,Wide shot of hundreds of masked figures standing,All figures now identical posture,Geometric patterns forming on floor,Slow crane up to overhead,Hard cut,Cut to next,Charcoal oxidized metal,Sacred geometry disrupted,Procedural SVG geometry,pending,Establish the controlled mass
S013,0:48,0:50,2,Transition to maze,Beginning of movement II,Masked figures beginning to walk in unison,Feet moving in perfect synchronization,Walls of corridor shifting and changing,Tracking shot moving with figures,Dissolve,Hard cut,Transition to deep violet,Your neighbor is not the enemy,Typography beginning to fracture,Transition effect with mask wipe,pending,Bridge to next movement
S014,0:50,0:54,4,Maze revealed,The system made visible,Wide shot of impossible maze from above,Masked figures entering maze from multiple points,Walls shifting and rearranging slowly,Overhead static shot,Hard cut,Dissolve,Deep violet warning red,Maze diagram overlay,Procedural SVG maze generation,pending,Reveal the trap
S015,0:54,0:58,4,Divided populations,Groups separated by design,Medium shot of two groups on opposite sides of wall,Figures reaching toward each other through gaps,Wall thick and imposing,Static shot with figures moving,Crossfade,Hard cut,Deep violet toxic amber,Division text appearing,Typography with barrier effect,Python/Pillow layered composition,pending,Show artificial division
S016,0:58,1:02,4,Impossible geometry,Maze logic breaks down,Tracking shot following figure through impossible turns,Figure turning corners that shouldn't connect,Background shifting impossibly,Handheld following shot,Hard cut,Cut to next,Warning red electrical cyan,Impossible architecture labels,Procedural SVG with impossible geometry,pending,Show system's illogic
S017,1:02,1:06,4,Frustration building,Emotional escalation,Close-up of masked figure's hands gripping wall,Knuckles white with tension,Shadow of others passing on other side,Static close-up with hand movement,Crossfade,Dissolve,Toxic amber warning red,Emotional lyric fragments,Hand-drawn agitation overlay,Particle system stress particles,pending,Show emotional cost
S018,1:06,1:10,4,Maze shifting,The trap resets,Overhead shot of maze walls moving,Figures being redirected by shifting walls,Paths closing and opening elsewhere,Overhead static shot,Hard cut,Hard cut,Deep violet electrical cyan,Maze diagram animating,Procedural SVG animation,pending,Show system's control
S019,1:10,1:14,4,Groups converging,Manufactured conflict begins,Medium shot of two groups approaching each other,Masked figures moving toward narrow passage,Tension in body language,Tracking shot moving forward,Crossfade,Hard cut,Warning red toxic amber,Conflict text appearing,Typography with aggressive styling,Python/Pillow compositing,pending,Build toward conflict
S020,1:14,1:18,4,First confrontation,Conflict ignites,Close-up of two masked figures face to face,Masks almost touching,Hands beginning to push,Static shot with figures moving,Hard cut,Cut to next,Warning red deep violet,Confrontation text,Hand-drawn impact lines,Particle system collision sparks,pending,Spark of manufactured conflict
S021,1:18,1:22,4,Conflict spreading,Violence begins,Medium wide shot of multiple figures pushing,Groups colliding in narrow space,Others watching from maze walls above,Static shot with chaotic movement,Crossfade,Dissolve,Warning red toxic amber,Violence text fragments,Typography with shatter effect,Python/Pillow layered chaos,ppending,Show conflict escalation
S022,1:22,1:26,4,Industrial scale,Conflict as process,Wide shot showing conflict from multiple angles,Many groups fighting in many maze sections,Pattern of conflict repeating,Overhead shot with multiple focal points,Hard cut,Dissolve,Toxic amber warning red,Industrial process labels,Procedural SVG diagram overlay,pending,Show systematic nature
S023,1:26,1:30,4,Transition to war,Bridge to movement III,Overhead shot of entire maze in conflict,Red pulsing through maze like veins,Walls beginning to transform,Slow zoom out from overhead,Dissolve,Hard cut,Transition to deep red,War machinery text,Transition effect with industrial wipe,Procedural SVG transformation,ppending,Bridge to industrial war
S024,1:30,1:34,4,War factory revealed,Conflict as industry,Wide shot of massive factory space,Assembly lines producing weapons,Masks being manufactured on conveyor,Slow dolly through factory,Hard cut,Dissolve,Deep red warning red toxic amber,Factory labels and diagrams,Procedural SVG industrial diagram,pending,Reveal war as manufactured
